year,city,country,avg_temp
1743,Detroit,United States,2.21
1744,Detroit,United States,10.92
1745,Detroit,United States,-0.80
1746,Detroit,United States,
1747,Detroit,United States,
1748,Detroit,United States,
1749,Detroit,United States,
1750,Detroit,United States,9.08
1751,Detroit,United States,9.77
1752,Detroit,United States,1.69
1753,Detroit,United States,8.50
1754,Detroit,United States,8.73
1755,Detroit,United States,5.59
1756,Detroit,United States,9.07
1757,Detroit,United States,7.92
1758,Detroit,United States,7.08
1759,Detroit,United States,8.03
1760,Detroit,United States,6.44
1761,Detroit,United States,8.99
1762,Detroit,United States,8.52
1763,Detroit,United States,6.08
1764,Detroit,United States,8.53
1765,Detroit,United States,7.90
1766,Detroit,United States,8.99
1767,Detroit,United States,7.51
1768,Detroit,United States,7.47
1769,Detroit,United States,8.20
1770,Detroit,United States,8.08
1771,Detroit,United States,9.00
1772,Detroit,United States,8.69
1773,Detroit,United States,8.93
1774,Detroit,United States,8.40
1775,Detroit,United States,9.39
1776,Detroit,United States,8.46
1777,Detroit,United States,8.01
1778,Detroit,United States,5.93
1779,Detroit,United States,8.84
1780,Detroit,United States,11.57
1781,Detroit,United States,8.68
1782,Detroit,United States,8.14
1783,Detroit,United States,7.87
1784,Detroit,United States,7.71
1785,Detroit,United States,7.60
1786,Detroit,United States,8.13
1787,Detroit,United States,8.15
1788,Detroit,United States,8.74
1789,Detroit,United States,8.46
1790,Detroit,United States,8.38
1791,Detroit,United States,8.50
1792,Detroit,United States,7.95
1793,Detroit,United States,8.72
1794,Detroit,United States,8.78
1795,Detroit,United States,8.38
1796,Detroit,United States,8.25
1797,Detroit,United States,8.01
1798,Detroit,United States,8.84
1799,Detroit,United States,8.46
1800,Detroit,United States,8.55
1801,Detroit,United States,8.93
1802,Detroit,United States,9.16
1803,Detroit,United States,8.97
1804,Detroit,United States,8.81
1805,Detroit,United States,9.19
1806,Detroit,United States,8.49
1807,Detroit,United States,8.28
1808,Detroit,United States,8.37
1809,Detroit,United States,7.60
1810,Detroit,United States,7.89
1811,Detroit,United States,8.01
1812,Detroit,United States,6.77
1813,Detroit,United States,8.07
1814,Detroit,United States,7.92
1815,Detroit,United States,7.29
1816,Detroit,United States,6.76
1817,Detroit,United States,6.92
1818,Detroit,United States,7.65
1819,Detroit,United States,7.77
1820,Detroit,United States,7.74
1821,Detroit,United States,7.53
1822,Detroit,United States,8.45
1823,Detroit,United States,7.75
1824,Detroit,United States,8.14
1825,Detroit,United States,9.25
1826,Detroit,United States,8.89
1827,Detroit,United States,8.94
1828,Detroit,United States,9.67
1829,Detroit,United States,8.30
1830,Detroit,United States,9.28
1831,Detroit,United States,7.58
1832,Detroit,United States,8.74
1833,Detroit,United States,8.85
1834,Detroit,United States,9.14
1835,Detroit,United States,8.06
1836,Detroit,United States,7.15
1837,Detroit,United States,7.88
1838,Detroit,United States,7.35
1839,Detroit,United States,8.67
1840,Detroit,United States,8.77
1841,Detroit,United States,8.20
1842,Detroit,United States,8.71
1843,Detroit,United States,7.46
1844,Detroit,United States,8.92
1845,Detroit,United States,8.92
1846,Detroit,United States,9.42
1847,Detroit,United States,7.84
1848,Detroit,United States,8.54
1849,Detroit,United States,8.04
